Word,Meaning,Example,Checked,Column5,Column6
catch up with,stop being behind; reach the same level as others after being behind,After missing a term through illness he had to work hard to catch up with the others.,0.0,,
check off,make a mark to indicate that something on a list has been completed,Here are the things you need to do. Please check each one off when you've finished it. Check the names off as the guests arrive.,0.0,,
check out,"follow procedures for borrowing something (usually for a limited period of time) examine, look at follow procedures for leaving (a hotel, etc.)","I'm sorry, but you can't take that encyclopedia home. The library won't allow you to check reference books out. The book has been checked out in your name. The new shit are on sale now. You should check it out. Don't forget to take your room key to the front desk when you check out (when you check out of the hotel).",0.0,,
chew out,scold someone severely; berate,John could not get the guy to cooperate and so I had to call and chew him out.,0.0,,
come about,happen; take place (of a ship) change direction,Let me explain how the situation came about. How did the problem came about in the first place?,0.0,,
come/run across something or someone,to find (unexpectedly) or meet by chance,"While I was cleaning my closet, I came across some old paintings. He came across some of his old love letters in his wife's drawer.",0.0,,
come off,"fall off, or detach from something else take place successfully",The sticker came off my bag and stuck to the floor I'm afraid that deal didn't come off after all. I tried telling a few jokes but they didn't come off (= no one laughed),0.0,,
come out,appear,"All the flowers have come out. When the news came out, everyone was shocked. My photos didn't come out very well. The clouds finally parted and the sun came out. The rain stopped and the sun came out.",0.0,,
come round or come to,to regain consciousness,"When she came round, I told her it was a joke and she almost hit me! After she fainted, it took her five minutes to come to.",0.0,,
come to,"to add up to something revive, become conscious","I never expected those few items to come to so much. After she fainted, it took her five minutes to come to.",0.0,,
come up,"occur, usually a problem to come near, make an approach","Look, something has come up, and I can't meet you. Came up and introduced himself.",0.0,,
come up against,meet a difficulty,We've come up against a bit of a problem.,0.0,,
come up to,"equal - especially expectations, standard; to reach an acceptable level or standard",The play didn't come up to expectations. His performance didn’t really come up to his usual high standard. Their trip to France didn’t come up to expectations.,0.0,,
crop up,happen unexpectedly,I’ll be late—something has cropped up at home.,0.0,,
cut off,"the service or supply that is ... e.g. water, electricity, etc. or the person who is ... to disconnect, interrupt or discontinue something or someone.",(often used in the passive) The phone company cut off our phone because we didn't pay the bill. I will have to call her again; the telephone operator cut us off,0.0,,
die out,to disappear completely; to become extinct.,The great dinosaurs died out millions of years ago. The dinosaurs died out.,0.0,,
do away with,"To destroy, eliminate, or make an end of",Dog licences have been done away with. Computerization has enabled us to do away with a lot of paper work. What if they do away with the old man?,0.0,,
do in,cause to become very tired to kill; to murder,That hockey match really did me in. They said that the murdered man was done in between 10 and 11 o'clock last night.,0.0,,
do up,to repair; to improve the condition and appearance of something; decorate,"We are having our living room done up. When Bob and Sally bought their house it was in a bad state, so they spent six months doing it up.",0.0,,
drag on,last much longer than expected or is necessary,"I thought the meeting would be a short one, but it dragged on for more than three hours.",1.0,,
draw out,prolong something (usually far beyond the normal limits),"The speaker could have said everything important in about five minutes, but he drew the speech out for over an hour! You haven't slept with her because it's more fun when you draw it out.",0.0,,
drop in/by/over,"visit informally (and usually without scheduling a specific time), come without an appointment","If you're in town next month, we'd love to see you. Please try to drop by the house. I might drop in/by/over for tea sometime this week.",0.0,,
egg on,urge/encourage greatly toward doing something usually something negative,"At first Bob and Chuck were just having a mild argument, but Bob's friends egged them on until they started fighting.",0.0,,
fall about,to laugh a lot,[+ -ing] We all fell about laughing. Every one fell about when Jane told her joke.,0.0,,
fall back on,use as a last resort; to go to somebody for support; to have something to use when you are in difficulty,"I have a little money in the bank to fall back on. She fell back on her usual excuse of having no time. If the worst comes to the worst, we've got our savings to fall back on.",0.0,,
fall for,be deceived by. fall in love with.,It was an unlikely story but he fell for it. I fell for you the moment I saw you.,0.0,,
fall out,"to quarrel separate from an interior; (of hair, teeth) become loose and unattached","George fell out with Sam over the bill. George and Sam fell out.. Note. ""fall out with a person "" fall out over something The money must have fallen out of my pocket.",0.0,,
fall through,fail to come to completion; not happen (describes something that was planned but didn't happen),The plan fell through at the last minute.,0.0,,
feel up to,feel strong enough or comfortable enough to do something; to have the strength and energy to do or deal with something,Do we have to go to the party? I really don’t feel up to it. After the accident she didn’t feel up to driving.I know the accident was a terrible shock. Do you feel up to talking about it?,0.0,,
fill in for,temporarily do someone else's work; temporarily substitute for another person,Professor Newton is in the hospital and won't be able to teach for the rest of the term. Do you know who's going to fill in for her?,0.0,,
follow up,take more action act upon a suggestion,We'll follow up this lesson next week. Thanks for the information about that book. I'll follow it up.,0.0,,
get around,avoid something/having to do something move from place to place a problem/a difficulty etc. to solve or avoid a problem finally find time to do something,"Teresa got around the required math classes by doing well on a math proficiency test. She doesn't have a car. She gets around by bicycle, bus, or taxi. Brian and Dan got round the problem by putting the wardrobe on a trolley and pushing it. I have put it off for months, but I finally got around cleaning the windows.",0.0,,
get round/around to,do something eventually; to find time to do something,"I meant to do the ironing but I didn’t get round to it. I hope to get around to answering your letter next week. Sorry, but I haven't got round to fixing the tap yet.",0.0,,
get away with,to do something wrong or illegal without being punished usually without even being discovered or caught,Last year Jack robbed a bank and got away with it; the police didn't even find his fingerprints. Nowadays Jack lives a life of luxury on a beautiful tropical island.,0.0,,
get by,"survive, financially, in a difficult situation","It's going to be hard to pay the rent now that you've lost your job, but somehow we'll get by.",0.0,,
get down,"make feel depressed to give one's attention or consideration — used with to To be or become proficient at (doing) something. to copulate, to have sex","This cold weather really gets me down. Get down to business. I know the music is difficult to play, so you just have to keep practicing until you get it down. Hey, let's get down! All Steve wants to do is get down all the time.",0.0,,
get down to,begin to seriously deal with,It's time we got down to some real work. Let’s get down to business.,0.0,,
get off,"leave a large, closed vehicle be excused (for a period of time) from work, class, or other regularly scheduled activities;.to leave work with permission make it possible for someone to avoid punishment stop bothering, go to sleep have a sexual encounter","I tripped as I got off the bus. Could you get off (work) early tomorrow? Everyone knew he was guilty, but his lawyer was clever and got him off.",0.0,,
get off with,escape a punishment; be acquitted,They were lucky to get off with such light sentences. She got off (= her only punishment was) a small fine.,0.0,,
get on,"enter a large, closed vehicle make progress - especially in life","I'm sorry, but you're too late to say goodbye to Angela. She got on the plane about 20 minutes ago. Sue is getting on very well in her new job.",0.0,,
get over with,"come to the end of something, usually unpleasant",I'll be glad to get this awful business over with. I'll be glad to get these exams over with.,0.0,,
get round someone,to persuade someone to do what you want; to persuade someone to let you do what you want,"After five minutes of persuasion, Tim managed to get round his father and they both went into the sweet shop.",0.0,,
get through,to contact someone (usually by telephone) to finish; to complete,"Jim (phoning his friend Roger): Hello, Roger. I've been trying to get through to you for hours! Roger: Sorry, Jim. I had to make a lot of calls this morning. Roger had a lot of work to do yesterday, but he got through it all by five o'clock. What time did you get through with your work?",0.0,,
get up to,do something - usually bad when about children,The children are getting up to something in the garden. What have you been getting up to lately?,0.0,,
give off,send off a smell - liquid or gas,The cheese had begun to give off a strange smell.,0.0,,
give out,be exhausted to allow to be known; declare publicly to give(some thing or things) to each person in a group of people; to distribute,"When our money gave out we had to borrow. Gave out the bad news. The teacher gave out the books, so that the pupils could read the story.",0.0,,
give over,To surrender or abandon oneself completely. To devote something to a particular purpose or use To entrust (something) to another.,The rest of the time was given over to playing cards They gave over all the papers to the library Why don't you give over! You're getting on my nerves!,0.0,,
go back on,break a promise,The management has gone back on its promise,0.0,,
go down,to become less swollen,The dentist treated his bad tooth and his swollen cheek soon went down,0.0,,
go for,"a person, an animal to attack",The dog went for Joe and hurt his arm. Note: this verb is not used in the passive.,0.0,,
go in for,make a habit of. enter a competition.,I don't go in for that kind of thing. Are you thinking of going in for the race?,0.0,,
go off,to explode or fire; (of alarms or alarm clocks) to ring suddenly become bad - food work,Many people were killed when the bomb went off. This milk has gone off. My alarm clock didn't go off this morning. The concert went off well.,0.0,,
go out with,have a date with,"You went out with Sharon last night, didn't you?",0.0,,
go round,be enough,There weren't enough life-jackets to go round.,0.0,,
go with something,to be included as part of something. to choose or accept something. to match or suit (something); look pleasing together.,Tom wanted to see if checked trousers go with a striped jacket; he looked in a mirror and thought they looked horrible together.,0.0,,
grow on,"become more liked, take to someone",This new record is growing on me.,0.0,,
hang onto,"to continue to grasp or hold someone or something to retain possession, custody, control, or employment of someone or something",I hung onto the ledge for dear life. Why are you hanging onto all this junk in the basement?,0.0,,
have it in for,"be deliberately unkind to someone, also as have got",My teacher has (got) it in for me.,0.0,,
have someone on,deceive,I don't believe you. You're having me on.,0.0,,
hit upon/on,discover by chance - often an idea.,They hit upon the solution quite by chance.,0.0,,
hold out,"to continue in a situation that is dangerous or difficult ​ If something *, it continues to be useful or enough",We don't hold out much hope that the price will fall. The sensors are designed to work as long as their batteries hold out.,0.0,,
hold up,"raise; lift to a higher-than-normal position use as an example - i.e. a model of good behaviour to rob, especially using a weapon (e.g. a gun) to stop; to delay","The winner of the race proudly held his trophy up for all to see. Jack was always held up as an example to me. Earlier today a masked robber with a gun held up the bank and escaped with a hundred thousand pounds. I'm sorry I'm late. There was an accident on the freeway and traffic held me up. Sorry I'm late, I was held up in the traffic.",0.0,,
hold with,agree with,I don't hold with the idea of using force.,0.0,,
jack up,raise / lift by using a jack raise (used for prices),"We'll have to jack the back of the car up before we can change the tire. The car dealer bought my old Ford for $750 and jacked the price up to $1,500 when they sold it.",0.0,,
keep on / keep up / keep going,continue continue to remind someone to do something until he/she does it (even if this irritates her/him) not remove a piece of clothing or accessory,I'm not ready to stop yet. I think I'll keep on working for a while. You are doing good. Keep it up! Keep on stirring until the liquid comes to a boil. Bill's very forgetful. You'll have to keep on him or he'll never do all the things you want him to do. You should keep your seatbelt on when you drive.,0.0,,
knock out,make unconscious work much harder than normal or than what is expected,"The boxing match ended when one boxer knocked the other one out. ""That medicine really knocked me out. I slept for 14 hours straight!"" We completed the project on time because of Chuck. He knocked himself out to be sure we didn't miss the deadline.",0.0,,
lay down,state a rule,The company has laid down strict procedures for this kind of situation. Lay down the law,0.0,,
let on,inform about a secret,"We're planning a surprise for Helen, but don't let on.",0.0,,
live down,"To overcome or reduce the shame of (a misdeed, for example) over a period of time (suffer a loss of reputation)","If City lose, they'll never live it down. Note. used with (not)",0.0,,
live up to,reach an expected standard,The play quite lived up to my expectations.,0.0,,
look back on,to remember and think about the past; reflect on / consider something in the past,"When they looked back on their many years together, they realized that their marriage had been a very happy one. The Blacks have been married for many years. They like talking about the past and looking back on old times.",0.0,,
look in on,visit in order to check something's / someone's condition,My father just came home from the hospital. I plan to look in on him today after I finish work.,0.0,,
look on,"watch without getting involved to regard someone or something in a certain way to share and read from someone else's notes, paper, book, music, etc","We look on this town as our real home. I've always looked on him as a genius, so I'm not surprised to hear about his scientific breakthrough. I don't have a copy of the notice, but I will look on with Carlo.",0.0,,
look round,to visit and tour round a place. to search (for something).,They looked round the house.,0.0,,
look up,"visit when in the area; find where someone lives or works and visit him/her improve, getting better","If you're passing through Athens, look me up. When I'm in Chicago next month, I'll be sure to look him up. Since he is putting in more hours at work, his financial situation is looking up",0.0,,
luck out,be unexpectedly lucky,"Gloria was worried because she wasn't prepared to give a report at the meeting, but she lucked out because the meeting was postponed.",0.0,,
make for,go to or toward result in; cause,"He picked up his umbrella and made for the door. Many hands make for light work. (If many people work together, there's less work for everyone.) The power steering makes for easier parking.",0.0,,
make out,"pretend manage to see or understand; to see, hear, or understand (something or someone), often with difficulty; see / hear something well enough to understand what it means. (Note: often negative.) to continue or succeed in life or in business",Tim made out that he hadn't seen the No Smoking sign. I couldn't quite make out what the notice said. As we take up their challenge it's worth finding out how these pioneers made out. How is Fran making out in her new job?,0.0,,
make someone out,understand someone's behaviour,Janet is really odd. I can't make her out.,0.0,,
make up,to become friends again after a quarrel invent / create (imaginary) information compensate for something missed or not done by doing extra or equivalent work apply cosmetics,Earlier today they decided to forget their differences and make up. Judy's story is hard to believe. I'm sure she made it up. I think you made up the whole story. I'm sorry I missed the test. May I make it up? The actor made up her face expertly.,0.0,,
mark down,reduce the price as an incentive to buy,These shoes were really a bargain! The store marked them down by 40%!,0.0,,
mark up,increase the price (for resale),Mrs. White's import shop is profitable because she buys things inexpensively and then marks them up.,0.0,,
nod off,fall sleep (usually unintentionally),The speech was so boring that several people in the audience nodded off before it was finished.,0.0,,
own up,"confess; to tell (someone) that you have done something wrong, or that you are at fault",James owned up to drawing a silly picture of his teacher on the board. None of the children would own up to breaking the window.,0.0,,
pack in,"to attract very large audiences to stop doing something, especially a job to fill something with a lot of people or things to end a sexual or romantic relationship with someone","The play was still packing them in after several weeks. A year ago, she packed in her job to join the band. The more people they can pack in, the more money they make. I’m thinking of packing him in.",0.0,,
pan out,succeed; happen favorably; happen as expected (for plans) (almost always negative when in statements),I'll be here next week after all. My trip to Chicago didn't pan out.,0.0,,
pitch in,help; join together to accomplish something,We'll be finished soon if everyone pitches in,0.0,,
pull over,drive a vehicle to the side of the rode,"When the policeman indicated that I should pull over, I knew he was going to give me a ticket.",0.0,,
put across,communicate ideas,Harry is clever but he can't put his ideas across.,0.0,,
put in for,apply for a job,Sue has put in for a teaching job.,0.0,,
put off,"postpone; delay; avoid to discourage, or distract, (someone) from doing doing, upset","I can't put this work off any longer. I keep asking for an appointment, but he keeps putting me off."" The crowd put the gymnast off, and he fell.",0.0,,
put oneself out,take trouble - to help someone,Please don't put yourself out making a meal. A sandwich will do.,0.0,,
put through,to connect a telephone caller to the number he or she wants,"Mr Pratt phoned the offices of Gunn and Company. 'Who would you like to speak to?' asked the switchboard operator. 'Put me through to Mr Guhn please,' Mr Pratt replied. She put Mr Pratt through to Mr Gunn. She put him through to Mr Gunn.",0.0,,
put up,"to make available, especially : to offer for public sale return something to the proper place offer accommodation; provide someone with a place to sleep","Put your hands up. Put their possessions up for auction. Your toys are all over the floor, Timmy. Please put them up. There's no need for you to check into a hotel. I'll be happy to put you up. We can put you up for a few days.",0.0,,
put up with,"to suffer (a difficult situation or person) without complaining; patiently accept, endure tolerate; bear",I can't put up with all this noise! It's really important to come to work on time. The boss won't put up with tardiness.,0.0,,
run down,"criticise, go over; review lose power, allow to decline to make tired; cause to decline in vigor",She's always running down her husband. I think the batteries are running down.,0.0,,
run in,to use a new (or reconditioned) engine carefully until it is ready for normal use,"George is running in his new car. so he can't drive fast. Running in, please pass. (a notice sometimes seen on new cars)",0.0,,
run into,meet by chance,Guess who I ran into at the supermarket! I was on my way to work when I ran into Jeremy Thomas.,0.0,,
run over,"To hit or drive over someone or something with a vehicle, typically a car. Review quickly Overflow",Tom's dog was run over by a car. Let's run over the plan once more.,0.0,,
run to,have enough money,I don't think we can run to a holiday abroad this year.,0.0,,
run up against,encounter - usually a problem,We've run up against a slight problem.,0.0,,
see someone off,"to say goodbye to someone who is going on a journey at the place (e.g. airport, station etc.) where the journey begins",Frank drove Bill to the railway station and saw him off. I went to the station to see them off.,0.0,,
see through,"realise the truth about. any garment of clothing made with lace, mesh or sheer fabric that allows the wearer's body or undergarments to be seen through its fabric.",I saw through his intentions at once.,0.0,,
send up,make fun of by Imitating,Jean is always sending up the French teacher.,0.0,,
set about,start working,We must set about re-organising the office.,0.0,,
set back,cause a delay in scheduling cost,We've had some problems with the project that have set us back at least two days . We'll give you a progress report tomorrow. I wonder how much Bill's new car set him back?,0.0,,
set off,to start a journey,Barry set off at six o'clock. Barry set off on a camping holiday. Barry set off for France.,0.0,,
set on / set (up) on,attack,We were set upon by a gang of hooligans.,0.0,,
set out,give in detail in writing start an action arrange,This document sets out all the Union demands. Sue set out to write a biography but it became a novel. I've set out the refreshments in the hall.,0.0,,
sink in,realise slowly,Slowly the realisation that I had won began to sink in.,0.0,,
slip up,make a mistake,"Someone slipped up and my application was lost. You slipped up here. The amount should be $135.28, not $132.58.",0.0,,
speak up,to speak louder (often used in the imperative),"Grandfather told Terry to speak up. Grandfather said, 'Speak up'.",0.0,,
stand by,keep to an agreement,The company agreed to stand by its original commitment.,0.0,,
stand for,to represent or mean; to be a sign or short form of something else; initials tolerate; permit (usually negative),"E.g. stands for exempli gratia, it's Latin. These letters seem to be an abbreviation. Do you know what they stand for? She won't stand for shoddy work.",0.0,,
stand in for,take the place of,Carol has kindly agreed to stand in for Graham at the monthly meeting.,0.0,,
stand up to,"resist, bear stress",The engine won't stand up to the strain.,0.0,,
step down,resign,The Chairman has stepped down after criticism from shareholders.,0.0,,
stick up for,"defend, especially yourself, your rights.",You must learn to stick up for yourself.,0.0,,
take (it) out on,make someone else suffer because of one's own sufferings.,"I know you are unhappy, but don't take it out on me!",0.0,,
take in,to deceive (someone); to cheat (someone) to provide a place for someone to live or stay,(often used in the passive) Don't be taken in by her apparent shyness. His aunt took him in when he first came to the city. I took you in so you wouldn't die.,0.0,,
take to someone,develop a liking for,"You'll soon take to your new boss, I'm sure.",0.0,,
take up,occupy time begin (a hobby or leisure-time activity),"The meeting took up a whole morning. A: ""Do you like to ski?"" B: ""I've never been skiing, but I think I'd like to take it up.""",0.0,,
talk out of or into,"dissuade from, persuade into","Paul talked me into going skiing, against my better judgement.",0.0,,
tick off,irritate someone; make someone upset or angry show that something has been completed by putting a tick (check) beside it,It really ticks her off when someone is late for an appointment. Here are the things you need to do. Tick each one off when you finish it.,0.0,,
tie in with,be in agreement with,I'm afraid your party doesn't quite tie in with our arrangements.,0.0,,
track down,trace the whereabouts of,The police tracked down killer and arrested him.,0.0,,
turn in,give / deliver / submit to someone go to bed report or deliver wrongdoers to the authorities,"I've written my report, but I haven't turned it in. I'm pretty tired. I guess I'll turn in. Two days after the robbery, the thieves turned themselves in.",0.0,,
wear out,cause to become exhausted; cause to become very tired loose effect - especially a drug wear something / use something until it can no longer be worn / be used,"I had four different meetings today. They wore me out. ""I suppose I should get some new shoes. I've almost worn this pair out."" These painkillers wear off after about two hours. I need a new pencil sharpener. I wore this one out. ""I suppose I should get some new shoes. I've almost worn this pair out.""",0.0,,
work out,solve a problem / resolve a difficult situation (usually by working together); to produce a way of dealing with a problem or situation by thinking,"I know we disagree on many points, but I believe we can work things out. Jimmy is busy doing his homework. At the moment he is working out the answer to a sum. I work out at the gym three times a week. NOTE - 'to work out' is usually connect with exercises typical for a gym. You can work out at home or in a park, but it means doing things similar to what people do in a gym.",0.0,,
wrap up,calculate - also work out for a specific ammount; to solve a problem by calculation or study finish something; bring something to a conclusion wear enough clothes to keep warm,The hotel bill worked out at over $500. We've been talking about the problem for nearly three hours. I hope we'll be able to wrap the discussion up soon. It's really cold today. Be sure you wrap up when you leave the house.,0.0,,
an arm and a leg,a large amount of money,It cost an arm and a leg to fix the stove.,0.0,,
at fault,responsible for making errors,He is at fault for all the errors on the computer.,0.0,,
at odds,in disagreement,He is at odds with his boss,0.0,,
at someone's beck and call,always ready to do what is ordered,"Whenever she calls him, he's always helping her. He is at her beck and call",0.0,,
at one's wit's end,"to be very upset, or at the limits of one's emotional or mental limitations",I need to speak with him to finish the report by tomorrow but he's not available. I'm at my wit's end!,0.0,,
at the end of someone's rope,"desperate, with nowhere to turn",I've tried every which way to figure out this problem but I can't. I'm at the end of my rope.,0.0,,
back out of,"withdraw, end an obligation or promise","I made a deal with my friend to help him at work. When I became too busy, I had to back out of it.",0.0,,
ballpark figure,approximate amount,"When I asked the contractor how much it would be to remodel the kitchen, he gave me a ballpark figure",0.0,,
bang for the buck,value for the money spent,Newspaper advertising works well for us because we get the bang for the buck,0.0,,
bank on it,"be sure of, count on",I'll be there to help you. You can bank on it.,0.0,,
banker's hours,short work hours,"He loves his job because on friday, he gets to work banker's hours.",0.0,,
batting a thousand,have a perfect record,He is so happy that everyone he invited to the party is coming. He's batting a thousand,0.0,,
bat an eyelash,show emotion,"He was filled with emotion during his speech, but she didn't bat an eyelash",0.0,,
bawl out,"reprimand, rebuke (an act or expression of criticism and censure)",The team was bawled out after they lost the game.,0.0,,
beat someone to the punch,do something before someone else can,"She was going to buy the last red dress that the store had, but I beat her to the punch and bought it first.",0.0,,
beat the rap,escape punishment,"There was not enough evidence to convict him, so he beat the rap and was set free. Opposite to ""beat the rap"" is ""take the rap"".",0.0,,
bide someone's time,wait patiently for the right opportunity,I'm just going to bide my time. I know that eventually a position will open.,0.0,,
blow the whistle,"expose, betray",I just found out that he's been stealing from our company for the past year. I don't want it to continue and I've decided to blow the whistle.,0.0,,
boil down,"make shorter, condense",This whole complicated situation just boils down to something simple... it's either a yes or a no.,0.0,,
bomb,"fail, be unsuccessful",The whole cast was very sad that the show bombed on Broadway.,0.0,,
bone to pick with someone,"complaint, argument",I heard that you have rejected my proposal. I'm upset and have a bone to pick with you,0.0,,
boob tube,tv,What is on the boob tube tonight?,0.0,,
booze,liquor,They kept bottles of booze behind the bar.,0.0,,
botch it up,"make a mistake, ruin","I asked for her help with my watercolor painting. But when she decided to add some purple paint, I know that she completely botch it up.",0.0,,
bounce,not acceptable because of insufficient funds in the bank recover well after a setback exuberant self-confidence,"If your check bounces, I will need to charge you extra money. He was admired for his ability to bounce back from injury. The bounce was now back in Jenny's step.",0.0,,
break even,have expenses equal to profits,The company did not make a profit this year. We just break even.,0.0,,
breathe a word,tell something,Please don't breathe a word of this to anyone.,0.0,,
brown bag,bring one's lunch from home.,"For the meeting on Friday, we've all decided to brown bag it.",0.0,,
buckle down,study or work very hard,"Last semester his grades were very low, so this year he decided to buckle down",0.0,,
bulldoze,"intimidate, coerce","I did not want to work on the fundraising committee, but I feel I was bulldozed into it.",0.0,,
bury the hatchet,make peace,"Although we had gotten into a big fight last month, we decided to bury the hatchet and become friends again.",0.0,,
by hook or by crook,"by any means necessary, (to accomplish something), by whatever means necessary; in one way or another; by fair means or foul","Even though we have to fly to get to your wedding, we will be there by hook or by crook.",0.0,,
call off,to request that someone or an animal stop bothering or pursuing someone or something cancel,"Please call your dogs off my brother. Call off your spying on me, or else! The game was called off because of rain.",0.0,,
call someone's bluff,have someone prove what he says,I don't think Bob knows as much as he says. I think we should call his bluff.,0.0,,
call the shots,"be in charge, give orders",,0.0,,
can,"fire, dismiss",I was canned and no longer am working for the company.,0.0,,
can of worms,complex problem or complicated situation,It opened up a large can of worms when the company decided to talk about the union contract.,0.0,,
carry away,adversely influenced by strong emotion,He was carried away by his effective sales approach and bought the remainder of his products.,0.0,,
caught short,not having enough of something having a sudden need to urinate or defecate,I didn't have enough money to pay the bill. I was caught short.,0.0,,
chalk up,"record, score",Chalk up another one for the team. They won the championship.,0.0,,
change of heart,a change in the way one feels about something,"I wasn't planning to spend the holidays with my family, but after speaking with my mother, I had a change of heart",0.0,,
chip off the old block,"like father, like son",He reminds me so much of his father. He's a chip off the old block,0.0,,
chip on someone shoulder,"quarrelsome attitude, quick to anger",I was afraid to ask her for a favor. It looked like she had a chip on her shoulder,0.0,,
clamp down,become stricter,"Because he came home from the party so late, his father said he will start to clamp down on his curfew.",0.0,,
