Word,Checked
petal,33
productivity,29
puddle,1
reservoir,18
shore,23
species,34
stem,4
tide,8
tremor,3
current,13
dense,10
freezing,29
long-term,18
native,29
resistant,24
severe,28
torrential,4
tropical,22
a storm in a teacup,27
be snowed under with something,29
every cloud has a silver lining&nbsp;,23
in the cold light of day,11
see which way the wind is blowing,15
not have the foggiest idea,2
the calm before the storm,27
not a cloud in the sky,30
vicious circle,9
weather the storm,27
breed,14
flow,34
sow,26
biofuel,14
carbon footprint,20
consumption,9
fumes,1
greenhouse gas&nbsp;,10
mining,30
natural resources,12
precious metal,17
scale,14
wind farm,34
carbon neutral,1
eco-friendly,4
rechargeable,18
recyclable,26
renewable,1
precious,29
sustainable,11
unleaded,24
curb,3
emit,0
exhaust,28
harness,32
asset,10
bankruptcy,8
bottom line,16
budget,6
client,24
credit rating,21
cutback,23
earnings,4
equity,5
household name,10
luxury goods,19
bankrupt,10
hands-on,7
managerial,27
calculated risk,34
chair a meeting,24
golden opportunity,13
keep track of,32
make a name for yourself,33
a win-win situation,5
amalgamate,1
capital punishment,4
community service,28
life sentence,30
mugging,20
organized crime,16
peer pressure&nbsp;,13
petty crime,27
robbery,12
vandalism,12
violence,20
hostile,21
lenient,3
accept the consequences of,1
accuse,6
arrest,6
be held responsible for,11
victim,28
convicted criminal,14
criminal activity&nbsp;,27
criminal offence,6
criminal record,22
hardened criminal,22
juvenile crime,30
underlying causes,18
jail,13
punish,28
bias,24
broadcaster,20
episode,6
make the headlines,18
paparazzi,2
press,14
viewer,34
biased,28
eminent,13
high-profile,14
prejudiced,1
prominent,21
subjective,20
world-famous,14
become famous overnight,24
chief claim to fame,14
be in the public eye,10
instant celebrities,22
media attention,4
new-found fame,31
tabloid,33
assert,26
broadcast,27
contend,2
gossip,17
indicate,7
speculate,16
animation,14
culture,26
drama,33
echo,24
engraving,11
fiction,13
imagination,4
inspiration,6
abominable,4
dismal,20
fictional,17
figurative,22
hilarious,28
inspirational,21
petrified,23
spine-chilling,13
talented,21
tedious,32
terrified,34
terrifying,19
thrilling,5
it's a matter of taste,12
acquire a taste for,22
be in bad taste,17
compose,20
have diverse tastes,12
share the same taste,18
